City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,salinopolis,-0.6136,-47.3561,25.57,88,31,4.32,BR,1720147662
1,yellowknife,62.456,-114.3525,17.29,67,75,4.63,CA,1720147424
2,wanlaweyn,2.6185,44.8938,23.32,85,90,4.66,SO,1720147670
3,port mathurin,-19.6833,63.4167,22.62,60,85,9.99,MU,1720147671
4,iqaluit,63.7506,-68.5145,3.85,93,100,2.06,CA,1720147672
5,abomsa,9.9833,39.9833,23.84,60,100,1.47,ET,1720147675
6,puerto santa,-8.9906,-78.6456,18.22,90,87,4.23,PE,1720147676
7,hawaiian paradise park,19.5933,-154.9731,27.73,73,40,5.66,US,1720147677
8,bilibino,68.0546,166.4372,15.71,84,100,1.38,RU,1720147678
9,arenas de san pedro,40.2104,-5.0869,24.02,33,1,2.77,ES,1720147679
10,ilulissat,69.2167,-51.1,11.01,46,40,3.09,GL,1720147681
11,anadyr,64.75,177.4833,19.28,63,20,9.0,RU,1720147682
12,shimoda,34.6667,138.95,32.28,70,5,2.92,JP,1720147683
13,badger,64.8,-147.5333,13.14,93,100,6.69,US,1720147684
14,peterhead,57.5058,-1.7981,11.22,75,97,7.91,GB,1720147685
15,lihue,21.9789,-159.3672,26.77,76,20,6.17,US,1720147456
16,ancud,-41.8697,-73.8203,3.83,81,31,1.93,CL,1720147688
17,playa del ingles,27.7567,-15.5787,19.86,76,0,2.78,ES,1720147689
18,ulsteinvik,62.3432,5.8487,10.73,90,100,0.89,NO,1720147690
19,edinburgh of the seven seas,-37.0676,-12.3116,13.05,82,90,15.27,SH,1720147691
20,thompson,55.7435,-97.8558,22.09,40,75,3.6,CA,1720147692
21,port-aux-francais,-49.35,70.2167,4.75,96,100,14.15,TF,1720147694
22,grytviken,-54.2811,-36.5092,-5.18,60,87,0.84,GS,1720147695
23,carutapera,-1.195,-46.02,24.1,94,55,1.96,BR,1720147696
24,pokrovsk,48.282,37.1758,24.21,36,100,0.53,UA,1720147697
25,egilsstadir,65.2653,-14.3948,5.95,93,100,2.06,IS,1720147699
26,montrose,38.4166,-108.2673,21.76,21,0,1.94,US,1720147700
27,kirkwall,58.9848,-2.9587,10.03,93,98,3.09,GB,1720147701
28,guadalupe y calvo,26.1,-106.9667,15.02,95,99,1.15,MX,1720147702
29,bethel,41.3712,-73.414,23.55,83,100,0.45,US,1720147704
30,cabedelo,-6.9811,-34.8339,23.37,80,17,4.17,BR,1720147705
31,coquimbo,-29.9533,-71.3436,9.85,100,100,1.54,CL,1720147706
32,portland,45.5234,-122.6762,30.99,35,0,6.17,US,1720147390
33,scottburgh,-30.2867,30.7532,12.63,36,0,3.98,ZA,1720147708
34,mek'ele,13.4967,39.4753,18.52,70,91,1.05,ET,1720147709
35,sirte,31.2089,16.5887,24.03,69,35,4.67,LY,1720147711
36,avarua,-21.2078,-159.775,26.03,73,20,6.17,CK,1720147712
37,bykovo,55.6361,38.0803,19.59,94,0,3.0,RU,1720147713
38,ushuaia,-54.8,-68.3,-0.19,80,20,3.09,AR,1720147714
